factor,level,fitted_relativity,true_band_relativity
age_band,17-21,2.4298619318695964,2.2449676107197982
age_band,22-24,1.8812335599717864,1.534758213414245
age_band,25-29,1.4495753275878727,1.2952108841346779
age_band,30-39,1.0932386665227498,1.0489780308409464
age_band,40-49,1.0,1.0
age_band,50-59,0.9209872043699662,0.9928062870442084
age_band,60-69,0.9642960089372783,0.991758047248524
age_band,70+,1.2308216120452964,1.2580994227792368
ncd_band,0,1.8457367166383662,1.8776105792643432
ncd_band,1-2,1.4895833945902048,1.68861367032529
ncd_band,3-4,1.3015952859150919,1.4696814605660562
ncd_band,5-8,1.1283167117171842,1.1906713764709027
ncd_band,9+,1.0,1.0
