,coefficient,std_error,p_value,relativity
Intercept,-3.019654218336125,0.04442039805472946,0.0,0.048818095846291445
"C(age_band, Treatment(reference='40-49'))[T.17-21]",0.887834437577577,0.07095124103682182,6.314227934959348e-36,2.4298619318695787
"C(age_band, Treatment(reference='40-49'))[T.22-24]",0.631927710591429,0.07015424898106964,2.104426948181753e-19,1.8812335599717744
"C(age_band, Treatment(reference='40-49'))[T.25-29]",0.37127063600987864,0.055594411929350766,2.4189376660957106e-11,1.4495753275878713
"C(age_band, Treatment(reference='40-49'))[T.30-39]",0.08914454448171662,0.04352809745306563,0.04056224849803175,1.0932386665227491
"C(age_band, Treatment(reference='40-49'))[T.50-59]",-0.08230913601556061,0.04224151972283981,0.05135082157488551,0.9209872043699662
"C(age_band, Treatment(reference='40-49'))[T.60-69]",-0.03635696829290734,0.0515169532076686,0.4803571606907219,0.964296008937278
"C(age_band, Treatment(reference='40-49'))[T.70+]",0.20768192365940583,0.06574512602276598,0.001583687533890149,1.2308216120452964
"C(ncd_band, Treatment(reference='9+'))[T.0]",0.6128785022027378,0.07575562318063271,5.956451941237536e-16,1.8457367166383645
"C(ncd_band, Treatment(reference='9+'))[T.1-2]",0.3984964799155613,0.06323895883627072,2.9489368553230223e-10,1.4895833945902004
"C(ncd_band, Treatment(reference='9+'))[T.3-4]",0.2635906551545251,0.05641253893169781,2.9747673824869448e-06,1.3015952859150919
"C(ncd_band, Treatment(reference='9+'))[T.5-8]",0.12072688646548453,0.04043401768297303,0.0028286051300874986,1.1283167117171853
"C(vehicle_group, Treatment(reference='VG2'))[T.VG1]",-0.1101782780011588,0.03515552258323105,0.0017242630975240001,0.8956744420128404
"C(vehicle_group, Treatment(reference='VG2'))[T.VG3]",0.04063084667536336,0.03255315120134538,0.21198028089968968,1.0414675733569725
"C(vehicle_group, Treatment(reference='VG2'))[T.VG4]",0.15437287001770142,0.03848255183122951,6.0333424167277934e-05,1.1669259173559303
"C(vehicle_group, Treatment(reference='VG2'))[T.VG5]",0.32824354627209,0.04259398792208666,1.2948230992282586e-14,1.3885271017119787
"C(region, Treatment(reference='North'))[T.London]",0.1556509263240625,0.03754552601295214,3.38838623538129e-05,1.1684182678344963
"C(region, Treatment(reference='North'))[T.Midlands]",-0.10152134775741817,0.03582655227186012,0.0046013925596245855,0.903461892251041
"C(region, Treatment(reference='North'))[T.Scotland]",-0.2814472694032687,0.043489872130441656,9.699692854146661e-11,0.7546907099175673
"C(region, Treatment(reference='North'))[T.South East]",-0.0802661545952872,0.03560038765886262,0.024155764179057636,0.9228706874221415
"C(region, Treatment(reference='North'))[T.Wales]",-0.2384196925358866,0.04658768589110402,3.093581966260017e-07,0.7878719577155724
"C(mileage_band, Treatment(reference='5-10k'))[T.10-15k]",0.17063371565656266,0.029386274369144243,6.376229781875432e-09,1.186056235619298
"C(mileage_band, Treatment(reference='5-10k'))[T.15k+]",0.4179370290271163,0.033082507370495076,1.3857605078335278e-36,1.5188250295010974
"C(mileage_band, Treatment(reference='5-10k'))[T.<5k]",-0.27614492721984996,0.03590581007252226,1.462011977222499e-14,0.7587029660814302
young_high_vg,0.23890777085783443,0.06543125823358968,0.0002609377114476926,1.2698614129540278
