factor,level,is_base,exposure,claims,oneway_frequency,frequency_relativity,severity_relativity,relativity,relativity_lower_95,relativity_upper_95
age_band,17-21,False,6649.2541,1373,0.2064893263742169,2.4298619318695787,1.132290431557299,2.751309415461257,2.3787512002219087,3.1822174168108046
age_band,22-24,False,4018.4836999999998,560,0.1393560461623871,1.8812335599717744,1.132290431557299,2.1301027594805144,1.8444131059288311,2.4600442012482535
age_band,25-29,False,10795.795399999999,1073,0.09939054606388707,1.4495753275878713,1.0,1.4495753275878713,1.299926325315352,1.6164520938074958
age_band,30-39,False,18708.148699999998,1215,0.0649449616572697,1.0932386665227491,1.0,1.0932386665227491,1.0038383883010795,1.1906007938221757
age_band,40-49,True,26299.3261,1428,0.05429796925480916,1.0,1.0,1.0,1.0,1.0
age_band,50-59,False,22583.102,1089,0.04822189617706195,0.9209872043699662,1.0,0.9209872043699662,0.8478080762541644,1.0004828384754838
age_band,60-69,False,11952.109799999998,596,0.04986567308811036,0.964296008937278,1.0,0.964296008937278,0.8716839687083441,1.0667476129338866
age_band,70+,False,4833.727000000001,307,0.06351206843084022,1.2308216120452964,1.0,1.2308216120452964,1.0820137015122955,1.400094877320338
ncd_band,0,False,3910.4264,851,0.2176233261927651,1.8457367166383645,1.0,1.8457367166383645,1.5910595977734505,2.1411793951115423
ncd_band,1-2,False,9205.6918,1285,0.13958755386531624,1.4895833945902004,1.0,1.4895833945902004,1.3159388920321629,1.686141129252857
ncd_band,3-4,False,10344.9791,975,0.09424861960330108,1.3015952859150919,1.0,1.3015952859150919,1.1653530749168397,1.4537656653433428
ncd_band,5-8,False,23728.9468,1526,0.06430963889219052,1.1283167117171853,1.0,1.1283167117171853,1.042349883241364,1.2213735736999993
ncd_band,9+,True,58649.9027,3004,0.05121918130650198,1.0,1.0,1.0,1.0,1.0
vehicle_group,VG1,False,20766.6341,1435,0.06910123196132203,0.8956744420128404,0.8795653727644205,0.7878042244645883,0.721424057557031,0.8602922089761168
vehicle_group,VG2,True,32066.1333,2189,0.06826516872241656,1.0,1.0,1.0,1.0,1.0
vehicle_group,VG3,False,26513.857,1817,0.06853020290484331,1.0414675733569725,1.0934497338305131,1.138792440880292,1.0494916664504301,1.2356917780893562
vehicle_group,VG4,False,16598.773,1297,0.07813830576513095,1.1669259173559303,1.3281488951844063,1.5498513678983288,1.4106870184720524,1.702744287799589
vehicle_group,VG5,False,9894.5494,903,0.09126236713720384,1.3885271017119787,1.6347857216200954,2.269944279961277,2.043999795611209,2.520864750178776
region,London,False,15943.894199999999,1330,0.08341751289343102,1.1684182678344963,1.4401510715087875,1.6826988203922912,1.5324049486867222,1.8477330829401166
region,South East,False,21100.7366,1534,0.07269888388635684,0.9228706874221415,1.2696877091209064,1.1717575689278552,1.0717849779316089,1.2810552756481441
region,Midlands,False,21266.7072,1496,0.07034469351230829,0.903461892251041,1.081104888606938,0.9767370683826753,0.8929039845711659,1.06844108351803
region,North,True,23304.0053,1829,0.07848436251428419,1.0,1.0,1.0,1.0,1.0
region,Scotland,False,13519.4116,795,0.058804334354314654,0.7546907099175673,0.972473429506198,0.7339166628900039,0.6580541775865558,0.8185248060320254
region,Wales,False,10705.191900000002,657,0.061372089929560246,0.7878719577155724,1.047958667807181,0.8256572472102469,0.7345816730824585,0.9280246361309362
mileage_band,<5k,False,21705.5478,1146,0.05279756173672797,0.7587029660814302,1.0,0.7587029660814302,0.7071453675906452,0.8140196020826973
mileage_band,5-10k,True,42265.3303,2858,0.06762043451959016,1.0,1.0,1.0,1.0,1.0
mileage_band,10-15k,False,27086.833700000003,2146,0.07922668347906606,1.186056235619298,1.0,1.186056235619298,1.1196741167708026,1.2563739511175798
mileage_band,15k+,False,14782.234999999999,1491,0.10086431449642089,1.5188250295010974,1.0,1.5188250295010974,1.4234685094183386,1.6205693733131001
young_high_vg,No,True,104229.85800000001,7203,0.06910687722514214,1.0,1.0,1.0,1.0,1.0
young_high_vg,Yes,False,1610.0888,438,0.27203468529189195,1.2698614129540278,1.0,1.2698614129540278,1.1170204861446036,1.4436154288228944
