,coefficient,std_error,p_value,relativity
Intercept,7.746919281854058,0.02453169040927745,0.0,2314.4313098596554
"C(vehicle_group, Treatment(reference='VG2'))[T.VG1]",-0.12832738810187547,0.027946750347504472,4.393263729651865e-06,0.8795653727644205
"C(vehicle_group, Treatment(reference='VG2'))[T.VG3]",0.08933759193043894,0.026005593257121748,0.0005918496858180253,1.0934497338305131
"C(vehicle_group, Treatment(reference='VG2'))[T.VG4]",0.28378616463705525,0.028692955433538676,4.579768099316541e-23,1.3281488951844063
"C(vehicle_group, Treatment(reference='VG2'))[T.VG5]",0.49151173864739134,0.03236328125994591,4.290616383662537e-52,1.6347857216200954
"C(region, Treatment(reference='North'))[T.London]",0.36474801885515057,0.029479595150563642,3.6636112889697913e-35,1.4401510715087875
"C(region, Treatment(reference='North'))[T.Midlands]",0.07798356318864981,0.02850954018357355,0.006231402980300774,1.081104888606938
"C(region, Treatment(reference='North'))[T.Scotland]",-0.02791252570731056,0.03475069533667823,0.4218463869951081,0.972473429506198
"C(region, Treatment(reference='North'))[T.South East]",0.23877097190255364,0.028335640212340706,3.56082702451988e-17,1.2696877091209064
"C(region, Treatment(reference='North'))[T.Wales]",0.046844146005822845,0.03722476439122152,0.20824225248607442,1.047958667807181
young_driver,0.12424251185377123,0.021840615582713,1.2808557735162694e-08,1.132290431557299
